SalesID,OrderDate,CustomerID,ProductID,Quantity,UnitPrice,DiscountRate,NetSales,OrderChannel
S000022,2024-11-10 00:00:00,C0337,P0149,46,3279.71,0.05,143323.33,Web
S000023,2024-04-30 00:00:00,C0200,P0048,3,2239.75,0,6719.25,Sales Rep
S000024,2025-04-27 00:00:00,C0386,P0122,20,2395.77,0.2,38332.32,Web
S000025,2025-05-06 00:00:00,C0102,P0041,6,1108.51,0.05,6318.51,Mobile
S000026,2024-05-29 00:00:00,C0360,P0027,7,2658.44,0.15,15817.72,Mobile
S000027,2025-07-22 00:00:00,C0265,P0050,34,202.36,0,6880.24,Mobile
S000028,2025-06-20 00:00:00,C0256,P0088,28,2634.16,0.2,59005.18,Sales Rep
S000029,2024-09-05 00:00:00,C0107,P0115,30,314.99,0,9449.7,Sales Rep
S000030,2025-11-13 00:00:00,C0386,P0008,12,1896.3,0.15,19342.26,Sales Rep
S000031,2024-01-21 00:00:00,C0324,P0044,40,679.3,0.15,23096.2,Web
S000032,2024-04-29 00:00:00,C0276,P0031,12,1736.24,0.1,18751.39,Web
S000033,2024-04-21 00:00:00,C0007,P0083,25,271.67,0.2,5433.4,Mobile
S000034,2024-06-23 00:00:00,C0104,P0145,35,1406.85,0.05,46777.76,Sales Rep
S000035,2025-09-17 00:00:00,C0128,P0059,37,207.08,0.2,6129.57,Web
S000036,2025-08-31 00:00:00,C0001,P0081,28,727.68,0.15,17318.78,Mobile
S000037,2025-04-18 00:00:00,C0207,P0107,5,2217.11,0.05,10531.27,Mobile
S000038,2024-11-29 00:00:00,C0228,P0032,45,2019.46,0.1,81788.13,Sales Rep
S000039,2024-06-28 00:00:00,C0221,P0068,4,1786.88,0.05,6790.14,Sales Rep
S000040,2025-02-11 00:00:00,C0001,P0041,1,1108.51,0.05,1053.08,Sales Rep
S000041,2025-04-23 00:00:00,C0230,P0039,40,1574.39,0.05,59826.82,Mobile
S000042,2024-07-14 00:00:00,C0281,P0037,22,2623.23,0.05,54825.51,Sales Rep
S000043,2024-06-09 00:00:00,C0374,P0090,26,3065.46,0.1,71731.76,Web
S000044,2025-06-05 00:00:00,C0026,P0054,6,1647.1,0,9882.6,Web
S000045,2024-07-20 00:00:00,C0135,P0048,40,2239.75,0.15,76151.5,Mobile
S000046,2024-06-23 00:00:00,C0261,P0126,26,2826.83,0.05,69822.7,Sales Rep
S000047,2025-02-26 00:00:00,C0210,P0024,42,2327.43,0.15,83089.25,Web
S000048,2025-10-14 00:00:00,C0069,P0093,47,2373.68,0,111562.96,Mobile
S000049,2024-05-19 00:00:00,C0319,P0074,35,1361.51,0,47652.85,Mobile
S000050,2025-01-11 00:00:00,C0246,P0096,37,2726.81,0.15,85758.17,Mobile
S000051,2024-12-09 00:00:00,C0072,P0018,15,1530.24,0,22953.6,Web
S000052,2025-05-30 00:00:00,C0339,P0083,27,271.67,0.1,6601.58,Sales Rep
S000053,2024-07-09 00:00:00,C0168,P0014,30,2062.39,0.2,49497.36,Web
S000054,2024-05-01 00:00:00,C0144,P0109,16,2949.5,0,47192,Sales Rep
S000055,2025-12-02 00:00:00,C0088,P0089,8,307.93,0.15,2093.92,Web
S000056,2025-08-02 00:00:00,C0189,P0002,11,372.04,0.05,3887.82,Mobile
S000057,2025-04-09 00:00:00,C0125,P0008,32,1896.3,0.2,48545.28,Web
S000058,2024-11-25 00:00:00,C0034,P0076,25,1873.62,0,46840.5,Sales Rep
S000059,2025-05-26 00:00:00,C0064,P0104,17,2302.25,0.05,37181.34,Sales Rep
S000060,2025-08-12 00:00:00,C0341,P0025,18,1561.13,0.15,23885.29,Sales Rep
S000061,2024-08-15 00:00:00,C0001,P0140,16,1152.91,0.15,15679.58,Sales Rep
S000062,2025-03-17 00:00:00,C0213,P0057,47,2920.03,0.2,109793.13,Web
S000063,2025-08-27 00:00:00,C0267,P0109,43,2949.5,0.05,120487.08,Web
S000064,2024-01-03 00:00:00,C0144,P0092,12,3304.07,0,39648.84,Sales Rep
S000065,2024-04-26 00:00:00,C0370,P0086,30,2651.75,0,79552.5,Mobile
S000066,2024-05-17 00:00:00,C0210,P0011,16,2249.43,0.05,34191.34,Mobile
S000067,2024-11-05 00:00:00,C0195,P0051,4,212.43,0.05,807.23,Sales Rep
S000068,2024-12-29 00:00:00,C0351,P0091,4,69.35,0.05,263.53,Mobile
S000069,2025-10-12 00:00:00,C0062,P0047,35,1690.15,0.1,53239.72,Web
S000070,2024-01-31 00:00:00,C0075,P0118,24,611.59,0.2,11742.53,Web
S000071,2025-06-17 00:00:00,C0167,P0029,6,1135.55,0.15,5791.3,Web
S000072,2024-05-10 00:00:00,C0100,P0120,36,537.06,0.2,15467.33,Sales Rep
S000073,2024-04-20 00:00:00,C0393,P0129,31,1859.81,0.05,54771.4,Sales Rep
S000074,2024-06-05 00:00:00,C0204,P0143,32,1658.11,0,53059.52,Mobile
S000075,2025-01-24 00:00:00,C0334,P0146,47,3161.89,0.1,133747.95,Web
S000076,2025-08-06 00:00:00,C0330,P0104,5,2302.25,0,11511.25,Web
S000077,2024-08-11 00:00:00,C0057,P0088,31,2634.16,0.2,65327.17,Web
S000078,2025-04-24 00:00:00,C0275,P0092,49,3304.07,0.2,129519.54,Web
S000079,2024-01-31 00:00:00,C0158,P0042,23,178.57,0.05,3901.75,Web
S000080,2025-11-28 00:00:00,C0236,P0141,10,990.13,0.15,8416.1,Sales Rep
S000081,2025-04-06 00:00:00,C0228,P0146,12,3161.89,0.15,32251.28,Web
S000082,2025-07-08 00:00:00,C0078,P0141,44,990.13,0.15,37030.86,Web
S000083,2025-01-07 00:00:00,C0171,P0051,9,212.43,0.1,1720.68,Mobile
S000084,2024-06-10 00:00:00,C0243,P0040,25,1989.31,0.1,44759.48,Sales Rep
S000085,2024-01-15 00:00:00,C0214,P0053,9,497.11,0,4473.99,Mobile
S000086,2025-03-16 00:00:00,C0354,P0122,14,2395.77,0,33540.78,Mobile
S000087,2024-08-20 00:00:00,C0233,P0059,32,207.08,0.2,5301.25,Mobile
S000088,2025-01-19 00:00:00,C0254,P0112,13,2702.36,0.1,31617.61,Sales Rep
S000089,2025-04-22 00:00:00,C0394,P0109,22,2949.5,0,64889,Mobile
S000090,2024-08-20 00:00:00,C0375,P0065,50,588.65,0,29432.5,Mobile
S000091,2025-11-21 00:00:00,C0389,P0048,20,2239.75,0.2,35836,Sales Rep
S000092,2024-10-27 00:00:00,C0306,P0007,7,2912.84,0.05,19370.39,Web
S000093,2024-02-20 00:00:00,C0263,P0106,10,407.8,0.15,3466.3,Sales Rep
S000094,2024-08-11 00:00:00,C0094,P0117,50,2271.93,0.05,107916.67,Web
S000095,2025-10-22 00:00:00,C0321,P0001,26,1603.65,0.05,39610.16,Mobile
S000096,2025-04-14 00:00:00,C0324,P0044,36,679.3,0,24454.8,Web
S000097,2025-04-29 00:00:00,C0383,P0135,29,3095.52,0.1,80793.07,Sales Rep
S000098,2025-09-01 00:00:00,C0217,P0009,1,3390.77,0.1,3051.69,Sales Rep
S000099,2024-06-10 00:00:00,C0067,P0120,43,537.06,0.05,21938.9,Mobile
S000100,2025-10-11 00:00:00,C0274,P0014,8,2062.39,0.15,14024.25,Mobile
S000101,2024-12-10 00:00:00,C0383,P0113,1,2702.93,0.15,2297.49,Sales Rep
S000102,2025-12-28 00:00:00,C0052,P0134,43,1783.47,0.1,69020.29,Sales Rep
S000103,2025-04-10 00:00:00,C0073,P0067,47,1678.76,0,78901.72,Web
S000104,2024-10-03 00:00:00,C0019,P0109,19,2949.5,0.1,50436.45,Mobile
S000105,2024-07-28 00:00:00,C0275,P0137,19,2309.18,0.15,37293.26,Web
S000106,2024-05-16 00:00:00,C0158,P0029,24,1135.55,0.2,21802.56,Mobile
S000107,2024-05-16 00:00:00,C0042,P0059,20,207.08,0.05,3934.52,Mobile
S000108,2025-09-16 00:00:00,C0294,P0089,41,307.93,0.1,11362.62,Sales Rep
S000109,2025-05-26 00:00:00,C0057,P0088,37,2634.16,0,97463.92,Web
S000110,2025-10-13 00:00:00,C0004,P0077,26,386.37,0.1,9041.06,Mobile
S000111,2024-09-28 00:00:00,C0014,P0041,36,1108.51,0.1,35915.72,Web
S000112,2025-10-11 00:00:00,C0341,P0028,17,336.43,0.15,4861.41,Web
S000113,2024-05-27 00:00:00,C0124,P0125,7,971.57,0.05,6460.94,Web
S000114,2025-07-23 00:00:00,C0289,P0002,13,372.04,0.05,4594.69,Sales Rep
S000115,2025-05-25 00:00:00,C0374,P0132,45,1842.26,0.1,74611.53,Web
S000116,2025-07-22 00:00:00,C0040,P0078,9,2937.07,0,26433.63,Mobile
S000117,2024-01-06 00:00:00,C0367,P0134,32,1783.47,0.05,54217.49,Sales Rep
S000118,2025-10-10 00:00:00,C0306,P0090,50,3065.46,0.2,122618.4,Sales Rep
S000119,2025-08-16 00:00:00,C0140,P0035,43,616.57,0.1,23861.26,Web
S000120,2024-03-28 00:00:00,C0048,P0042,5,178.57,0.2,714.28,Mobile
S000121,2025-12-05 00:00:00,C0243,P0098,31,1326.53,0,41122.43,Web
S000122,2024-01-12 00:00:00,C0220,P0142,28,2225.45,0.1,56081.34,Web
S000123,2024-08-19 00:00:00,C0215,P0067,21,1678.76,0.2,28203.17,Sales Rep
S000124,2024-07-02 00:00:00,C0232,P0089,49,307.93,0.1,13579.71,Sales Rep
S000125,2024-06-25 00:00:00,C0088,P0029,25,1135.55,0.05,26969.31,Sales Rep
S000126,2024-03-22 00:00:00,C0038,P0064,17,2969.12,0.1,45427.54,Web
S000127,2024-12-17 00:00:00,C0201,P0094,38,3196.94,0,121483.72,Sales Rep
S000128,2024-01-19 00:00:00,C0353,P0058,7,3028.9,0.15,18021.95,Web
S000129,2024-06-28 00:00:00,C0169,P0091,32,69.35,0.15,1886.32,Sales Rep
S000130,2024-04-26 00:00:00,C0110,P0095,6,2101.8,0.05,11980.26,Web
S000131,2025-03-02 00:00:00,C0158,P0127,46,821.32,0.05,35891.68,Sales Rep
S000132,2025-11-21 00:00:00,C0398,P0078,20,2937.07,0.15,49930.19,Mobile
S000133,2025-08-13 00:00:00,C0219,P0093,27,2373.68,0,64089.36,Sales Rep
S000134,2025-05-19 00:00:00,C0272,P0123,39,479.78,0.05,17775.85,Sales Rep
S000135,2025-07-21 00:00:00,C0227,P0094,28,3196.94,0.15,76087.17,Sales Rep
S000136,2024-04-22 00:00:00,C0255,P0022,19,3140.67,0.05,56689.09,Mobile
S000137,2025-02-07 00:00:00,C0195,P0033,17,2466.24,0.05,39829.78,Web
S000138,2024-03-19 00:00:00,C0250,P0119,11,1216.66,0.1,12044.93,Web
S000139,2024-06-26 00:00:00,C0190,P0039,3,1574.39,0.15,4014.69,Mobile
S000140,2024-03-16 00:00:00,C0162,P0013,40,2510.14,0,100405.6,Sales Rep
S000141,2024-06-03 00:00:00,C0251,P0077,15,386.37,0.05,5505.77,Mobile
S000142,2024-04-08 00:00:00,C0112,P0012,50,422.43,0.15,17953.27,Mobile
S000143,2024-03-04 00:00:00,C0204,P0144,34,3105.89,0.05,100320.25,Web
S000144,2024-01-06 00:00:00,C0160,P0057,50,2920.03,0.1,131401.35,Sales Rep
S000145,2024-12-08 00:00:00,C0288,P0024,29,2327.43,0.1,60745.92,Web
S000146,2025-07-28 00:00:00,C0385,P0141,35,990.13,0.15,29456.37,Web
S000147,2024-07-20 00:00:00,C0240,P0081,6,727.68,0.1,3929.47,Mobile
S000148,2025-01-27 00:00:00,C0362,P0068,9,1786.88,0.1,14473.73,Sales Rep
S000149,2025-07-12 00:00:00,C0337,P0090,41,3065.46,0,125683.86,Web
S000150,2024-03-05 00:00:00,C0361,P0053,11,497.11,0.05,5194.8,Web
S000151,2024-02-14 00:00:00,C0225,P0073,49,16.19,0.15,674.31,Sales Rep
S000152,2025-11-08 00:00:00,C0219,P0042,25,178.57,0.1,4017.82,Web
S000153,2024-07-10 00:00:00,C0182,P0039,4,1574.39,0.05,5982.68,Sales Rep
S000154,2025-07-09 00:00:00,C0157,P0066,38,710.29,0.1,24291.92,Sales Rep
S000155,2024-06-15 00:00:00,C0250,P0100,48,2534.51,0.15,103408.01,Sales Rep
S000156,2024-02-16 00:00:00,C0337,P0136,3,2659.57,0.1,7180.84,Web
S000157,2024-10-31 00:00:00,C0349,P0058,18,3028.9,0.2,43616.16,Sales Rep
S000158,2025-03-27 00:00:00,C0122,P0074,37,1361.51,0,50375.87,Sales Rep
S000159,2024-10-10 00:00:00,C0096,P0094,19,3196.94,0.1,54667.67,Web
S000160,2025-07-25 00:00:00,C0251,P0134,10,1783.47,0.2,14267.76,Web
S000161,2025-08-25 00:00:00,C0163,P0134,45,1783.47,0.15,68217.73,Web
S000162,2024-10-31 00:00:00,C0272,P0051,10,212.43,0.2,1699.44,Mobile
S000163,2024-03-27 00:00:00,C0063,P0044,24,679.3,0.15,13857.72,Mobile
S000164,2024-07-30 00:00:00,C0083,P0129,15,1859.81,0.1,25107.44,Web
S000165,2024-07-19 00:00:00,C0004,P0140,7,1152.91,0.2,6456.3,Web
S000166,2024-11-04 00:00:00,C0019,P0124,50,2697.12,0.1,121370.4,Web
S000167,2024-06-26 00:00:00,C0218,P0089,5,307.93,0.2,1231.72,Mobile
S000168,2024-11-15 00:00:00,C0257,P0017,10,2588.11,0.2,20704.88,Web
S000169,2025-03-14 00:00:00,C0279,P0035,33,616.57,0.05,19329.47,Sales Rep
S000170,2025-07-27 00:00:00,C0126,P0118,48,611.59,0.05,27888.5,Sales Rep
S000171,2025-07-13 00:00:00,C0303,P0027,8,2658.44,0.2,17014.02,Web
S000172,2025-02-08 00:00:00,C0202,P0149,19,3279.71,0.15,52967.32,Mobile
S000173,2025-11-06 00:00:00,C0063,P0095,47,2101.8,0,98784.6,Web
S000174,2025-10-24 00:00:00,C0348,P0026,18,1788.37,0.05,30581.13,Web
S000175,2024-04-06 00:00:00,C0152,P0010,12,407.36,0.15,4155.07,Mobile
S000176,2025-09-27 00:00:00,C0128,P0109,44,2949.5,0.05,123289.1,Web
S000177,2025-07-05 00:00:00,C0337,P0068,33,1786.88,0.1,53070.34,Mobile
S000178,2024-02-28 00:00:00,C0017,P0131,47,1994.5,0.05,89054.42,Sales Rep
S000179,2025-10-23 00:00:00,C0112,P0099,27,2714.56,0.1,65963.81,Mobile
S000180,2025-12-23 00:00:00,C0313,P0039,28,1574.39,0.2,35266.34,Web
S000181,2025-11-23 00:00:00,C0039,P0100,3,2534.51,0.15,6463,Sales Rep
S000182,2025-10-10 00:00:00,C0204,P0016,23,1372.4,0,31565.2,Sales Rep
S000183,2025-08-23 00:00:00,C0218,P0038,8,376.24,0.15,2558.43,Web
S000184,2025-07-19 00:00:00,C0207,P0068,15,1786.88,0.1,24122.88,Sales Rep
S000185,2025-11-22 00:00:00,C0166,P0010,3,407.36,0,1222.08,Sales Rep
S000186,2025-03-11 00:00:00,C0139,P0126,17,2826.83,0.05,45653.3,Sales Rep
S000187,2025-09-23 00:00:00,C0187,P0015,46,895.65,0.1,37079.91,Mobile
S000188,2024-08-28 00:00:00,C0277,P0102,23,2044.75,0.05,44677.79,Mobile
S000189,2024-12-22 00:00:00,C0302,P0006,48,3262.57,0.05,148773.19,Mobile
S000190,2025-07-17 00:00:00,C0317,P0001,20,1603.65,0.15,27262.05,Web
S000191,2024-04-02 00:00:00,C0025,P0144,24,3105.89,0.2,59633.09,Mobile
S000192,2025-04-18 00:00:00,C0266,P0136,1,2659.57,0,2659.57,Web
S000193,2024-07-22 00:00:00,C0316,P0122,10,2395.77,0.1,21561.93,Mobile
S000194,2025-04-16 00:00:00,C0201,P0001,2,1603.65,0.05,3046.94,Sales Rep
S000195,2025-12-04 00:00:00,C0383,P0005,3,1868,0.05,5323.8,Mobile
S000196,2025-03-09 00:00:00,C0294,P0102,41,2044.75,0.15,71259.54,Web
S000197,2025-12-25 00:00:00,C0039,P0017,24,2588.11,0.05,59008.91,Sales Rep
S000198,2024-10-03 00:00:00,C0381,P0064,11,2969.12,0.15,27761.27,Sales Rep
S000199,2025-11-17 00:00:00,C0091,P0041,42,1108.51,0.15,39573.81,Sales Rep
S000200,2024-09-10 00:00:00,C0240,P0087,5,176.39,0,881.95,Sales Rep
S000201,2024-06-09 00:00:00,C0283,P0143,32,1658.11,0.05,50406.54,Sales Rep
S000202,2025-05-14 00:00:00,C0036,P0124,48,2697.12,0.2,103569.41,Mobile
S000203,2024-11-30 00:00:00,C0086,P0016,43,1372.4,0.1,53111.88,Web
S000204,2025-10-02 00:00:00,C0354,P0054,18,1647.1,0.1,26683.02,Mobile
S000205,2024-10-14 00:00:00,C0313,P0086,31,2651.75,0.2,65763.4,Sales Rep
S000206,2025-05-05 00:00:00,C0052,P0058,31,3028.9,0,93895.9,Web
S000207,2025-11-25 00:00:00,C0257,P0041,8,1108.51,0.2,7094.46,Web
S000208,2025-12-24 00:00:00,C0098,P0099,24,2714.56,0.15,55377.02,Web
S000209,2025-01-30 00:00:00,C0256,P0085,16,2669.63,0.2,34171.26,Sales Rep
S000210,2024-01-20 00:00:00,C0285,P0026,39,1788.37,0,69746.43,Web
S000211,2025-01-30 00:00:00,C0299,P0012,30,422.43,0.1,11405.61,Sales Rep
S000212,2025-07-09 00:00:00,C0323,P0063,50,132.73,0,6636.5,Web
S000213,2025-08-08 00:00:00,C0050,P0029,29,1135.55,0.2,26344.76,Web
S000214,2024-11-07 00:00:00,C0305,P0061,1,620.48,0.1,558.43,Web
S000215,2025-09-14 00:00:00,C0149,P0043,14,2175.87,0,30462.18,Sales Rep
S000216,2025-10-07 00:00:00,C0161,P0080,4,2475.18,0.1,8910.65,Sales Rep
S000217,2025-05-08 00:00:00,C0366,P0024,14,2327.43,0,32584.02,Web
S000218,2025-02-17 00:00:00,C0350,P0053,42,497.11,0.05,19834.69,Sales Rep
S000219,2024-12-12 00:00:00,C0283,P0129,16,1859.81,0.1,26781.26,Sales Rep
S000220,2025-09-01 00:00:00,C0269,P0147,42,730.85,0.2,24556.56,Web
S000221,2025-07-10 00:00:00,C0245,P0063,5,132.73,0.1,597.28,Sales Rep
S000222,2024-10-22 00:00:00,C0353,P0091,2,69.35,0.2,110.96,Sales Rep
S000223,2024-08-04 00:00:00,C0216,P0137,50,2309.18,0.1,103913.1,Sales Rep
S000224,2024-01-25 00:00:00,C0236,P0101,27,2333.39,0,63001.53,Mobile
S000225,2024-09-27 00:00:00,C0184,P0013,45,2510.14,0.2,90365.04,Mobile
S000226,2024-08-16 00:00:00,C0285,P0025,20,1561.13,0.15,26539.21,Mobile
S000227,2025-08-08 00:00:00,C0250,P0138,3,1680.59,0.05,4789.68,Mobile
S000228,2025-10-07 00:00:00,C0373,P0029,8,1135.55,0.05,8630.18,Mobile
S000229,2024-05-15 00:00:00,C0039,P0064,18,2969.12,0.05,50771.95,Sales Rep
S000230,2024-01-07 00:00:00,C0177,P0106,43,407.8,0,17535.4,Mobile
S000231,2024-07-02 00:00:00,C0181,P0002,39,372.04,0.1,13058.6,Mobile
S000232,2025-01-31 00:00:00,C0105,P0083,29,271.67,0.15,6696.67,Web
S000233,2025-04-01 00:00:00,C0043,P0114,47,772.71,0.1,32685.63,Web
S000234,2024-12-16 00:00:00,C0176,P0015,25,895.65,0.05,21271.69,Mobile
S000235,2025-08-17 00:00:00,C0209,P0045,7,3158.26,0.05,21002.43,Sales Rep
S000236,2025-09-05 00:00:00,C0192,P0108,18,2361.62,0.05,40383.7,Sales Rep
S000237,2025-02-05 00:00:00,C0213,P0049,31,2125.41,0.15,56004.55,Web
S000238,2025-11-25 00:00:00,C0226,P0043,45,2175.87,0.15,83227.03,Sales Rep
S000239,2024-07-18 00:00:00,C0314,P0045,44,3158.26,0.05,132015.27,Web
S000240,2024-11-28 00:00:00,C0227,P0132,35,1842.26,0,64479.1,Sales Rep
S000241,2024-09-01 00:00:00,C0391,P0083,41,271.67,0.1,10024.62,Sales Rep
S000242,2025-04-12 00:00:00,C0128,P0065,30,588.65,0.05,16776.52,Mobile
S000243,2024-03-31 00:00:00,C0125,P0028,34,336.43,0.1,10294.76,Web
S000244,2024-06-09 00:00:00,C0133,P0122,47,2395.77,0.15,95711.01,Sales Rep
S000245,2025-03-01 00:00:00,C0238,P0139,38,752.56,0.15,24307.69,Mobile
S000246,2025-10-20 00:00:00,C0184,P0030,22,2551.44,0.2,44905.34,Mobile
S000247,2025-11-24 00:00:00,C0140,P0045,4,3158.26,0.2,10106.43,Mobile
S000248,2025-12-14 00:00:00,C0115,P0049,28,2125.41,0,59511.48,Web
S000249,2025-02-17 00:00:00,C0255,P0115,40,314.99,0,12599.6,Web
S000250,2024-04-20 00:00:00,C0087,P0013,25,2510.14,0.15,53340.48,Sales Rep
S000251,2024-07-22 00:00:00,C0155,P0040,24,1989.31,0.1,42969.1,Mobile
S000252,2025-10-22 00:00:00,C0370,P0111,30,342.11,0,10263.3,Mobile
S000253,2024-02-10 00:00:00,C0106,P0002,1,372.04,0.15,316.23,Sales Rep
S000254,2024-11-29 00:00:00,C0253,P0122,14,2395.77,0.05,31863.74,Web
S000255,2024-12-19 00:00:00,C0130,P0092,30,3304.07,0.1,89209.89,Sales Rep
S000256,2025-02-26 00:00:00,C0160,P0115,15,314.99,0.05,4488.61,Sales Rep
S000257,2024-06-04 00:00:00,C0389,P0064,27,2969.12,0.1,72149.62,Mobile
S000258,2025-02-10 00:00:00,C0041,P0035,22,616.57,0.1,12208.09,Mobile
S000259,2024-04-28 00:00:00,C0245,P0084,10,1797.29,0.1,16175.61,Sales Rep
S000260,2025-04-02 00:00:00,C0043,P0072,5,2139.67,0.05,10163.43,Sales Rep
S000261,2024-12-24 00:00:00,C0076,P0122,16,2395.77,0.05,36415.7,Web
S000262,2025-07-29 00:00:00,C0314,P0035,33,616.57,0,20346.81,Sales Rep
S000263,2024-09-27 00:00:00,C0235,P0030,11,2551.44,0.1,25259.26,Mobile
S000264,2025-05-06 00:00:00,C0096,P0020,27,2828.37,0.05,72547.69,Sales Rep
S000265,2025-03-17 00:00:00,C0017,P0131,29,1994.5,0.05,54948.48,Sales Rep
S000266,2025-01-09 00:00:00,C0329,P0019,37,1197.46,0.1,39875.42,Sales Rep
S000267,2025-12-12 00:00:00,C0254,P0100,42,2534.51,0.05,101126.95,Mobile
S000268,2025-09-21 00:00:00,C0286,P0106,14,407.8,0.05,5423.74,Sales Rep
S000269,2025-03-22 00:00:00,C0246,P0109,37,2949.5,0.15,92761.78,Sales Rep
S000270,2024-08-11 00:00:00,C0314,P0070,28,1649.74,0.1,41573.45,Mobile
S000271,2024-11-03 00:00:00,C0112,P0017,45,2588.11,0.15,98995.21,Mobile
S000272,2025-07-29 00:00:00,C0137,P0033,45,2466.24,0.2,88784.64,Web
S000273,2025-01-05 00:00:00,C0053,P0131,27,1994.5,0.2,43081.2,Web
S000274,2025-06-07 00:00:00,C0112,P0141,21,990.13,0.1,18713.46,Mobile
S000275,2025-05-19 00:00:00,C0174,P0070,3,1649.74,0,4949.22,Sales Rep
S000276,2024-06-07 00:00:00,C0230,P0008,20,1896.3,0.1,34133.4,Sales Rep
S000277,2024-04-19 00:00:00,C0378,P0085,38,2669.63,0.1,91301.35,Sales Rep
S000278,2025-08-11 00:00:00,C0010,P0140,17,1152.91,0.1,17639.52,Mobile
S000279,2025-09-23 00:00:00,C0041,P0025,33,1561.13,0,51517.29,Mobile
S000280,2024-10-17 00:00:00,C0292,P0093,22,2373.68,0.15,44387.82,Sales Rep
S000281,2024-03-16 00:00:00,C0261,P0070,30,1649.74,0.05,47017.59,Sales Rep
S000282,2025-03-07 00:00:00,C0271,P0046,20,1197.91,0.05,22760.29,Web
S000283,2024-06-14 00:00:00,C0325,P0004,16,699.6,0.1,10074.24,Sales Rep
S000284,2024-06-17 00:00:00,C0264,P0063,9,132.73,0,1194.57,Web
S000285,2024-11-15 00:00:00,C0383,P0022,27,3140.67,0,84798.09,Mobile
S000286,2024-07-07 00:00:00,C0195,P0050,14,202.36,0.2,2266.43,Mobile
S000287,2025-02-12 00:00:00,C0346,P0047,47,1690.15,0.05,75465.2,Mobile
S000288,2025-10-09 00:00:00,C0009,P0091,28,69.35,0.15,1650.53,Mobile
S000289,2024-10-22 00:00:00,C0062,P0096,41,2726.81,0.2,89439.37,Web
S000290,2025-03-27 00:00:00,C0186,P0146,36,3161.89,0,113828.04,Sales Rep
S000291,2025-04-07 00:00:00,C0006,P0048,8,2239.75,0.2,14334.4,Mobile
S000292,2024-11-24 00:00:00,C0249,P0004,39,699.6,0.15,23191.74,Mobile
S000293,2024-09-05 00:00:00,C0322,P0066,24,710.29,0.1,15342.26,Mobile
S000294,2025-09-03 00:00:00,C0292,P0123,42,479.78,0.15,17128.15,Mobile
S000295,2025-11-06 00:00:00,C0326,P0016,5,1372.4,0.05,6518.9,Web
S000296,2024-11-12 00:00:00,C0069,P0130,34,2731.29,0.2,74291.09,Mobile
S000297,2025-01-29 00:00:00,C0062,P0089,39,307.93,0.15,10207.88,Sales Rep
S000298,2024-09-23 00:00:00,C0317,P0069,46,2147.24,0.05,93834.39,Sales Rep
S000299,2024-04-27 00:00:00,C0135,P0108,2,2361.62,0.15,4014.75,Mobile
S000300,2024-09-29 00:00:00,C0043,P0086,33,2651.75,0.1,78756.98,Web
S000301,2024-09-20 00:00:00,C0162,P0046,1,1197.91,0.05,1138.01,Mobile
S000302,2025-10-31 00:00:00,C0112,P0096,34,2726.81,0.15,78804.81,Mobile
S000303,2024-02-12 00:00:00,C0145,P0017,8,2588.11,0.1,18634.39,Mobile
S000304,2025-03-08 00:00:00,C0188,P0098,47,1326.53,0.2,49877.53,Mobile
S000305,2024-05-28 00:00:00,C0261,P0143,28,1658.11,0.05,44105.73,Mobile
S000306,2025-09-02 00:00:00,C0164,P0044,21,679.3,0.05,13552.03,Sales Rep
